header,Argentina,Azerbaijan,Bahrain,Bangladesh,Benin,Brazil,Bulgaria,Cambodia,Cameroon,Central_African_Republic,Chad,Chile,Colombia,Costa_Rica,Czech_Republic,Dominican_Republic,Ecuador,Gabon,Germany,Greece,Guatemala,Guinea,Honduras,Hungary,India,Israel,Italy,Japan,Kenya,Kuwait,Latvia,Lithuania,Mali,Mauritania,Mauritius,Mexico,Mongolia,Netherlands,Niger,Norway,Oman,Pakistan,Peru,Poland,Portugal,Romania,Russian_Federation,Saudi_Arabia,Singapore,Slovenia,Spain,Sri_Lanka,Thailand,Togo,Tunisia,Turkey,Uganda,Ukraine,United_States,Uruguay
K_loss_multi,3.3600014758763605e-5,4.490940580643834e-7,0.00013028741484851568,1.8670089720240082e-8,5.710767079726988e-8,1.1188813184034539e-6,4.982737846695216e-7,7.106278285094817e-9,7.558668138032811e-8,8.360066210123277e-10,2.114285478973748e-9,8.229877855324076e-7,7.126984478444348e-7,7.481576196761899e-7,5.161646668036788e-5,6.036813013213374e-7,1.074524873127038e-6,3.3725698073261156e-5,1.4202785466553558e-5,6.910353901478309e-5,2.329529973426439e-8,1.0248018535542817e-8,9.775371040959343e-8,4.392965921337318e-6,1.6031276123521183e-7,1.5414356284541463e-5,6.986901536803037e-5,3.1304615495203223e-6,8.835516130982949e-8,0.00030655270997419204,6.209956186468738e-6,1.2750606201980462e-6,1.1769533626473822e-8,1.2931033307787241e-8,1.2928473178017338e-5,2.2568255669915507e-6,3.764154032631232e-6,5.673718995848234e-5,2.0493067040711574e-7,8.98927167054097e-5,4.159090524601393e-6,2.810785233208762e-8,3.149314056382277e-7,3.9194766529146855e-7,3.098500794704877e-5,3.7296136549403375e-6,3.834388341716898e-6,0.00017424794236490157,0.00017421700401550058,1.5922549544535757e-5,0.00010879857970468581,1.1613318032955754e-6,1.1144796290496064e-5,4.582787475605749e-8,9.994578626556406e-6,7.201885089018549e-6,1.4928953223881018e-8,1.3392843435694036e-7,3.1285579923421604e-5,5.001409091836657e-6
Y_loss_multi,0.000555738666756515,2.922268656978717e-5,0.0008941820797055512,2.0106122874875847e19,3.815611223669973e-6,0.0002232729892003342,0.0007013649557916863,2.8593364927018173e-6,1.9513175998799577e-5,5.2533231230638615e-6,4.758191116920292e-6,0.0008284314006732639,0.00015024876553268926,0.0011160609529715327,0.005273912410779055,0.00013050837708012512,0.0001749851363984673,0.0009708302854061305,0.00925577305704488,0.0024035878363416557,6.895073198363925e-5,5.577357047710355e-6,9.962150166858764e-6,0.0008179726167738738,5.753518266850438e-6,0.0016598153687280217,0.0042567633517249445,0.012520154618708918,9.975171536164652e-6,0.007889257750124121,0.0007015325716208294,0.0003720597290338093,5.8886723265586435e-6,1.5122026461548674e-5,0.0030494709274615263,0.0015138707511541004,1.1127801805786917e-5,0.010511175116698556,2.96776957357171e-5,0.007261605382334441,0.00026651501324315233,0.0002641217961916741,0.00019606484502026313,0.0004932278306709062,0.0012193542088601735,0.00019737008730713859,0.00611153332919662,0.014113075153950593,0.013162657254370118,0.003978436546597024,0.0022211006596841937,0.0005892239036014215,0.00029338412944027956,3.0481408810763587e-5,0.0002491699128633768,0.0006400388315134798,1.5196617580954407e-6,0.0014144236671090461,0.009463647949366214,0.0004290618213343774
E_loss_multi,3.3175757767426824e-7,1.8274371555971626e-8,8.196985937643075e-9,4.767128713461067e-11,1.4186943188253862e-9,2.7531615110869437e-8,4.083488083776795e-8,1.113939153551918e-8,2.6824332378265733e-8,4.68419030545206e-10,1.6940950690639377e-9,1.4193163643498472e-7,3.0066779531317324e-8,2.4116756205154154e-8,1.8116100765552954e-8,1.6211878133458244e-8,5.8170082184612654e-8,8.879218133263603e-8,3.709982104710177e-8,5.785182133317149e-8,2.7918942044479217e-8,7.796530237383998e-10,5.272836384278983e-9,2.71344700035714e-9,3.5955119562988777e-9,8.105943067433922e-8,4.712218667074264e-8,3.33432185114356e-8,1.1989442081816733e-9,1.002244093677987e-6,1.4769121210386593e-7,1.8185848305356393e-8,1.4877875480347363e-9,7.212857812889356e-10,2.737918161454841e-8,4.021133806648851e-8,5.248156754263878e-9,1.573256020071139e-7,2.2304453362907085e-9,2.303801723148725e-7,1.3035850894926302e-7,2.5540538413184267e-9,5.633019864241211e-8,4.842971074908226e-9,9.534047253881732e-8,1.965934487201737e-8,6.384596253905613e-9,2.498781150567903e-7,5.128352760584555e-7,1.583546642964107e-8,7.195872039571719e-8,5.902533528995501e-9,1.0240332653349584e-7,3.743743702757945e-9,3.6423846800689974e-9,7.131775455363729e-8,7.08100708185802e-10,1.2489325386445396e-8,1.6730519406873259e-7,2.824290606858855e-7
K_control,9.513146536089514e-5,3.4510186402667446e-6,5.393979779852946e-5,2.0616506830370742e24,1.0358026108640793e-6,4.220582040205246e-5,0.0007554289278183009,1.0164161717042611e-6,1.4509249588231743e-5,6.632085347193563e-7,2.2034542806853253e-7,0.0005763007007647805,1.1514102701786503e-5,0.0048687233163438644,6.791292858937045e-5,0.001138998740112538,3.0370542946850842e-5,0.00012814431234749353,0.000454335917344753,8.777311837768037e-5,3.855194472467039e-5,3.756378656712009e-7,2.9804291428880623e-6,3.253711610997355e-5,5.758023906813535e-6,8.563563635193577e-5,0.0005665205892759639,0.0006357506105263758,5.400450547104043e-7,0.0007444869874792665,4.429660412022784e-5,2.6059000273899517e-5,1.6572608661624618e-5,5.87792683482766e-7,0.0011061547486413107,0.0008294026616811049,2.8691586244403145e-7,0.000998618232096729,3.386578572334592e-7,0.000357389275240203,2.5626569705923612e-5,0.0012381861304959201,5.161220382014972e-5,3.57150198634242e-5,0.0001581484209135974,2.010380789724727e-5,2.1678307154680554e-5,4.408477833355036e-5,0.0020811524047277827,0.00014711767757884944,0.0007174097495334938,0.00447615037552542,4.2554873422390314e-5,7.028534200524816e-6,9.272281350063618e-5,0.00013665514902316134,4.775972495108439e-7,1.356967833541756e-5,0.0005551413189779437,8.90043939012021e-5
Y_control,0.02981440936011299,0.05530345146235084,4.99803460878667,0.00033417266842926255,0.0008942387055741535,0.00810831085647613,0.21663616988819684,4.176524528746766e-5,0.010975052310886557,6.99365360891617e-5,1.4181175423051719e-5,0.05101591319796685,0.007940522846124615,0.008160772534738684,0.10735228466873759,0.03889345126989042,0.046681819589774035,0.2245021347471084,0.01904568093684937,0.0471266539495527,0.002005742671026879,0.00015854144386996265,0.011079045263134819,0.010029787666190913,0.0007819298184386012,0.17790764366046646,0.04254383984264031,0.012493368976781941,0.0009884140291685545,17.275881416418954,0.011320384999583242,0.02642076357168689,3.994678039246216e-5,0.10677987749978425,0.008868908419562274,0.02773929212815803,0.164604990887088,0.2861792057190474,0.00010716686794590275,0.6636952497553533,2.760230027427109,0.00030010276597572844,0.010388722726803317,0.009516067008647667,0.04809395291405865,0.07641183681167898,0.006513761558832571,3.666228991462525,2.3809905159091707,0.019820888012905505,0.10775816822448614,0.0019527922975753403,0.02287047483044318,0.003491138120223773,0.0033837318357556275,0.01704865487479848,2.285878565016853e-5,0.11696148649697563,0.36563966661998204,0.07003857735467844
E_control,24.291700509238098,64.50712543672628,1699.4373111025525,1.4962988358172987e28,0.005652336739281852,4.985634283837765,2430.607009328326,0.023032956624834226,0.04096137807214608,0.0022476098897888097,0.0025394026634295644,211.68546197544703,3.877116540505055,273.62796557715893,333.5531236021388,364.7550525337199,1.1999858346586074,91.6710691541491,308.46872560832276,38.750206664755446,0.7440269633265302,0.041472860985731025,0.14786366959627065,63.89265562670883,1.7189009506273596,45.7497808321606,300.37815507037857,155.28674473287222,0.10433459846141035,238.07520563945766,59.8852988112671,36.99593185755487,0.16745288962388852,0.17050270955843544,15.78910973742523,346.75440771835827,2.971662195732686,1866.1547496199062,0.0013953892101997013,133.48966934613233,7.757768567276918,99.817444325007,7.288787293071001,164.87520937770978,21.081531432134664,310.0219354240848,166.33866857754182,41.88298501631706,74313.04063903284,93.28056731746898,602.5738489169356,104.09536696862045,2.9602843993426466,0.021449869916131507,18.859109239002358,22.675519080974553,0.0011649051766665294,128.09958131316534,2911.818775948585,9.969669071791335
